"","00:00:00","00:30:00","01:00:00","01:30:00","02:00:00","02:30:00","03:00:00","03:30:00","04:00:00","04:30:00","05:00:00","05:30:00","06:00:00","06:30:00","07:00:00","07:30:00","08:00:00","08:30:00","09:00:00","09:30:00","10:00:00","10:30:00","11:00:00","11:30:00","12:00:00","12:30:00","13:00:00","13:30:00","14:00:00","14:30:00","15:00:00","15:30:00","16:00:00","16:30:00","17:00:00","17:30:00","18:00:00","18:30:00","19:00:00","19:30:00","20:00:00","20:30:00","21:00:00","21:30:00","22:00:00","22:30:00","23:00:00","23:30:00"
"NETRAD_1havant",-35.188855721393,-33.4466666666667,-32.5060696517413,-31.6795,-30.67975,-29.4745273631841,-27.4229353233831,-26.6670646766169,-24.3200497512438,-16.5981592039801,-1.57417910447761,20.7083084577114,52.6452736318408,90.2196019900498,138.82328358209,178.613233830846,218.805792079208,254.780792079208,314.238267326733,348.304129353234,366.679552238806,388.337810945274,393.379800995025,409.209701492537,417.32263681592,381.420945273632,354.646965174129,327.952985074627,293.595074626866,262.048109452736,220.224179104478,180.601741293532,138.434925373134,98.9473134328358,54.29407960199,18.9479104477612,-6.73273631840796,-26.5542786069652,-38.7853731343284,-42.5042786069652,-43.1045771144279,-42.17005,-40.6570149253731,-38.8583084577114,-37.9031343283582,-37.3387562189055,-36.4349748743719,-35.6607960199005
"PPFD_IN_1havant",0.0188557213930348,0.0149751243781095,0.0176616915422886,0.0172,0.0204,0.017363184079602,0.028407960199005,0.44681592039801,4.59179104477612,18.3230845771144,46.5176119402985,88.6735323383085,163.7324,242.440301507538,332.350099502488,369.83652173913,510.560792079208,587.116287128713,712.032326732673,784.051890547264,825.405572139303,873.803880597015,887.084129353234,926.848059701493,950.980248756219,881.391641791045,830.642437810945,780.132288557214,714.381044776119,657.438109452736,575.265870646766,494.455422885572,413.188258706468,337.94328358209,247.464726368159,167.956815920398,104.226019900498,55.4521890547264,23.1601492537313,6.66960199004975,0.799502487562189,0.0443,0.0195024875621891,0.0213432835820896,0.0205970149253731,0.0213432835820896,0.0185427135678392,0.0168159203980099
"RH",84.7066169154229,85.6366666666667,86.1391542288557,86.5016,86.9116,87.1734825870647,87.5390547263682,87.3813930348259,86.883184079602,86.1202487562189,85.0770149253731,84.0241293532338,82.5309452736318,80.8958208955224,78.7633830845771,76.4328855721393,73.7815346534653,71.284603960396,69.2390099009901,67.1589054726368,65.3325373134328,63.7031343283582,62.1040298507463,61.1961194029851,60.5692039800995,60.3177114427861,60.5535820895522,60.5782089552239,60.9487064676617,61.6319900497512,62.1482089552239,63.1842786069652,64.4190049751244,65.9119402985075,68.0636815920398,70.1170646766169,72.160447761194,74.0485074626866,76.3929850746269,78.5517412935323,79.4037313432836,80.11165,80.9101990049751,81.6475621890547,82.5702487562189,83.0414925373134,83.544824120603,84.0042786069652
"SW_IN_1havant",-1.18756218905473,-1.11676616915423,-1.14805970149254,-1.1568,-1.0506,-1.0647263681592,-0.982885572139303,-0.691990049751244,1.80318407960199,11.18,30.1271641791045,58.5693034825871,97.9655721393035,143.326119402985,201.63223880597,250.482885572139,299.165693069307,342.982079207921,416.193069306931,457.726218905473,480.974328358209,508.258308457711,515.083830845771,537.346965174129,549.691044776119,507.752388059702,476.394875621891,445.147661691542,405.50263681592,371.132487562189,323.137810945274,277.253930348259,229.637711442786,185.253034825871,133.053930348259,89.9099502487562,56.3261691542289,29.695223880597,11.2938308457711,1.87587064676617,-1.22980099502488,-1.53465,-1.34835820895522,-1.26228855721393,-1.22716417910448,-1.27,-1.22592964824121,-1.1647263681592
"TA",11.6732835820896,11.4526368159204,11.2994029850746,11.1687,11.05005,10.9350248756219,10.8287064676617,10.8465671641791,10.9977114427861,11.257,11.6201,12.1423115577889,12.73685,13.1962,13.7761194029851,14.2581592039801,14.8062871287129,15.3181683168317,15.7301485148515,16.1735820895522,16.4811940298507,16.819552238806,17.1491542288557,17.3314427860697,17.47,17.5705970149254,17.6216417910448,17.6401492537313,17.635671641791,17.5660696517413,17.4650248756219,17.2820895522388,16.9536815920398,16.5973631840796,16.1784577114428,15.7217412935323,15.2120895522388,14.7376616915423,14.2076616915423,13.71592039801,13.4114925373134,13.1952,12.911144278607,12.6449253731343,12.3522885572139,12.1798009950249,11.9982914572864,11.8665174129353
"FC_1havant",3.43110552763819,3.77221105527638,3.74798994974874,3.9913567839196,3.91954545454545,4.14419191919192,3.99095477386935,3.53819095477387,3.43777777777778,3.48121212121212,3.02994974874372,1.06276381909548,-1.29924623115578,-2.32969543147208,-3.74868020304569,-6.09751269035533,-7.17725888324873,-8.98664974619289,-10.1311111111111,-11.6096954314721,-12.3498484848485,-12.8847715736041,-12.8622613065327,-13.0525757575758,-12.8854822335025,-11.915527638191,-11.4050251256281,-11.4744387755102,-10.7009090909091,-10.2607575757576,-8.93323232323232,-7.9116,-6.8036,-5.57120603015075,-3.8992,-1.96075,-0.8773,0.5661,1.2744,1.8032,2.30949748743719,3.0529797979798,3.41557788944724,3.67742424242424,3.8131,4.20935,4.19515151515152,3.4489
"H_1havant",-28.44975,-27.9747,-28.85415,-28.4804522613065,-27.8076884422111,-27.4589447236181,-27.9275879396985,-24.8034170854271,-25.2337185929648,-25.3582412060302,-22.2445728643216,-17.3129648241206,-5.45668341708543,2.83115577889447,15.9458291457286,25.2855050505051,36.9159798994975,47.4412182741117,66.2422727272727,78.6331313131313,85.9106060606061,95.2538265306122,95.0946733668342,102.771859296482,107.723165829146,93.6863819095477,83.2701507537688,77.921959798995,61.41365,52.9998994974874,42.24735,30.16015,16.60875,6.78371859296482,-3.70402010050251,-14.13385,-18.91295,-25.5632,-25.3361616161616,-29.3365,-29.2247738693467,-31.2938383838384,-33.33885,-33.3212,-32.9959,-32.5224,-33.0226767676768,-28.9491
"LE",0.52172972972973,0.247459459459459,-0.0372677595628416,-0.136923076923077,-0.920054945054945,-0.518360655737705,-0.226885245901639,-0.0112568306010929,0.557650273224044,1.88620879120879,6.74387978142077,12.3905464480874,21.380218579235,31.8654945054945,41.5185635359116,56.1244382022472,75.2542541436464,87.6679120879121,98.4468306010929,109.714835164835,116.385597826087,124.84625,134.18847826087,126.177322404372,122.382880434783,121.582197802198,110.197405405405,105.582404371585,93.6253260869565,80.2155434782609,69.6116666666667,52.3515591397849,36.4582258064516,25.0927272727273,13.5172192513369,6.42376344086022,1.72216216216216,1.22145945945946,1.08521505376344,0.646451612903226,0.406236559139785,0.707956989247312,0.0925806451612903,0.369728260869565,0.153967391304348,-0.467135135135135,-0.379180327868852,0.111783783783784
"SB",-4.21945273631841,-4.32412935323383,-4.41462686567164,-4.47075,-4.39625,-4.2307960199005,-4.01900497512438,-3.71358208955224,-3.3565671641791,-2.88626865671642,-2.29442786069652,-1.15318407960199,-0.0659203980099502,0.465323383084577,1.40741293532338,2.39771144278607,3.51891089108911,4.67985148514851,6.13524752475247,6.53114427860697,7.06820895522388,7.44124378109453,7.60024875621891,7.72512437810945,7.69004975124378,7.49482587064677,7.30218905472637,7.04452736318408,6.6855223880597,6.16940298507463,5.54980099502488,4.76621890547264,3.86124378109453,2.9458,1.98009950248756,1.20323383084577,0.506666666666667,-0.235771144278607,-0.895621890547264,-1.50870646766169,-2.02676616915423,-2.35555,-2.71427860696517,-2.99671641791045,-3.31009950248756,-3.60597014925373,-3.87924623115578,-4.05134328358209
"G",-3.1602736318408,-3.28793532338308,-3.35029850746269,-3.41825,-3.35915,-3.20114427860697,-2.99599502487562,-2.71495024875622,-2.36810945273632,-1.94778606965174,-1.40748756218905,-0.374850746268657,0.538980099502488,0.893557213930348,1.54771144278607,2.24398009950249,3.08066831683168,4.0859900990099,4.92165841584158,5.1034328358209,5.6210447761194,5.8978855721393,5.9965671641791,6.12067164179104,6.0702736318408,5.94905472636816,5.82671641791045,5.64781094527363,5.37318407960199,4.93922885572139,4.49728855721393,3.85955223880597,3.1694776119403,2.4289552238806,1.74519900497512,1.17024875621891,0.637487562189055,0.0808955223880597,-0.413681592039801,-0.86181592039801,-1.24537313432836,-1.5384,-1.84196517412935,-2.10226368159204,-2.36300995024876,-2.62273631840796,-2.8358040201005,-3.01057213930348
