dates,heure,heure_solaire,SAP_FLOW,NETRAD_1havant,PPFD_IN_1havant,RH,SW_IN_1havant,TA,FC_1havant,H_1havant,LE,SB,G,VPD
2010-04-28,09:00:00,08:00:00,1.42001528388889,395.29,934.21,45.54,562.34,18.22,-1.34,112.45,67.51,15.83,14.245,1.1396917606534
2010-04-28,09:30:00,08:30:00,1.70914358733333,454.54,1057.7,44.74,629.73,18.66,-1.08,131.37,58.19,17.56,15.03,1.1887605897599
2010-04-28,10:00:00,09:00:00,2.019153661,500.55,1168.63,42.79,685.97,18.77,-1.81,189.03,41.65,19.45,16.28,1.23920304851803
2010-04-28,10:30:00,09:30:00,2.27052185144444,545.64,1266.45,39.4,740.42,19.16,-1.24,192.09,26.08,18.79,14.985,1.34497062977062
2010-04-28,11:00:00,10:00:00,2.45752482611111,577.18,1335.29,37.41,778.91,19.73,-1.98,171.5,77.94,17.63,13.51,1.43924716328641
2010-04-28,11:30:00,10:30:00,2.52435388133333,607.14,1403.67,35.95,815.76,20.12,-2.61,187.31,40.37,19.2,14.455,1.5088305476382
2010-04-28,12:00:00,11:00:00,2.55062552522222,620.2,1436.48,35.59,835.12,20.53,-3.67,251.34,79.49,18.29,14.805,1.55621397530553
2010-04-28,12:30:00,11:30:00,2.69612483066667,626.64,1454.57,35.58,845.3,20.85,-1.72,163.25,83.18,16.78,13.93,1.58742669133727
2010-04-28,13:00:00,12:00:00,2.80292730088889,621.61,1454.24,34.98,842.31,21.15,-5.08,248.74,47.13,16.13,12.96,1.63200999950022
2010-04-28,13:30:00,12:30:00,2.78373395322222,605.27,1431.8,33.73,825.89,21.54,-2.37,294.99,88.1,13.96,11.115,1.70360476914989
2010-04-28,14:00:00,13:00:00,2.81070374533333,578.37,1385.25,32.74,796.39,21.82,-0.83,181.97,52.2,11.7,9.16,1.75889102367953
2010-04-28,14:30:00,13:30:00,2.89541885922222,542.24,1320.2,31.68,755.88,21.99,-2.47,244.28,70.88,9.22,7.32,1.80523309437581
2010-04-28,15:00:00,14:00:00,2.87260084177778,494.9,1232.53,30.24,703.09,22.25,-1.22,191.45,29.28,8.86,6.33,1.87269901071164
2010-04-28,15:30:00,14:30:00,2.73403778288889,433.29,1114.34,29.9,634.19,22.39,-2.09,209.6,65.71,7.81,5.28,1.89791312371401
2010-04-28,16:00:00,15:00:00,2.65700235166667,378.95,1011.25,30.11,573.62,22.3,-1.08,145.47,40.35,5.78,3.565,1.88190325611731
2010-04-28,16:30:00,15:30:00,2.56289831277778,308.52,879.62,30.09,495.07,22.24,-2.3,169.91,41.59,3.88,1.975,1.87558435470063
2010-04-28,17:00:00,16:00:00,2.39384926433333,232.99,742.94,29.74,411.06,22.14,-1.27,107.84,43.05,2.73,0.825,1.87353679037797
2010-04-28,17:30:00,16:30:00,2.10995816866667,158.44,602.23,31.15,328.11,21.69,-1.63,74.31,31.96,1.17,-0.095,1.78623370396567
2010-04-28,18:00:00,17:00:00,1.90028219966667,64.18,394.59,32.03,216.52,21.16,0.02,53.46,18.73,0.19,-0.76,1.70710236212007
2010-04-28,18:30:00,17:30:00,1.53922483888889,1.88,257.67,35.2,147.01,20.02,-1.49,25.72,1.07,-0.75,-1.38,1.51708319041013
2010-04-28,19:00:00,18:00:00,1.18734619866667,-56.36,125.66,35.47,68.82,19.26,0.1,5.59,11.88,-2.26,-1.945,1.441142190057
2010-04-28,19:30:00,18:30:00,0.965002273333333,-86.07,38.1,41.99,15.52,17.59,0.33,-7.53,35.73,-3.2,-2.565,1.16680005082545
2010-04-28,20:00:00,19:00:00,0.807296499111111,-91.5,5.25,48.47,-1.55,15.88,0.08,-7.71,32.88,-3.75,-3.12,0.929805564415393
2010-04-28,20:30:00,19:30:00,0.642897578333333,-88.56,0.15,49.43,-3.78,15.06,8.12,-30.62,30.18,-4.43,-3.48,0.865730526156905
2010-04-28,21:00:00,20:00:00,0.510864316777778,-82.08,0.05,52.16,-3.43,14.44,12.87,-46.87,7.3,-5.1,-3.83,0.786884893952467
2010-04-28,21:30:00,20:30:00,0.378788617111111,-80.7,0.02,55.53,-2.57,13.64,9.62,-38.11,7.37,-5.17,-3.9,0.694460856612929
2010-04-28,22:00:00,21:00:00,0.2570168057,-76.5,0.03,58.53,-2.88,12.85,5.54,-37.63,7.32,-5.92,-4.015,0.615057263089816
2010-04-28,22:30:00,21:30:00,0.165579532,-75.96,0.05,60.21,-2.73,12.41,8.06,-52.16,-0.36,-6.06,-4.47,0.573348316794984
2010-04-28,23:00:00,22:00:00,0.1201451272,-73.34,0.02,61.55,-2.31,12.08,5.93,-17.77,2.79,-6.89,-4.995,0.542137226471415
2010-04-28,23:30:00,22:30:00,0.0932567348,-72.26,0.02,59.45,-2.31,12.45,2.45,-7.45,-1.33,-7.03,-5.445,0.585837281750828
2010-04-29,00:00:00,23:00:00,0.0699298924,-71.22,0.01,60.64,-1.66,12.15,5.53,-28.35,-0.03,-7.33,-5.745,0.557533192241963
2010-04-29,00:30:00,23:30:00,0.1251242235,-69.42,0.02,60.37,-1.57,12.25,0.01,4.16,0.31,-7.89,-5.99,0.565065557443054
2010-04-29,01:00:00,00:00:00,0.0954912357,-68.12,0.02,63.6,-1.91,11.58,0.63,-3.53,1.69,-8.15,-6.255,0.496565028818231
2010-04-29,01:30:00,00:30:00,0.0738480307,-68.22,0,68.54,-1.21,10.56,0.93,-5.14,-2.63,-8.2,-6.62,0.401055326195287
2010-04-29,02:00:00,01:00:00,0.0556786044,-69.39,0.02,67.79,-2.44,10.72,2.21,-15.19,-0.61,-8.35,-6.765,0.41501963425947
2010-04-29,02:30:00,01:30:00,0.0428669761,-68.05,0,73.11,-2.58,9.61,-1.47,5.63,-0.41,-8.46,-6.56,0.321668219157464
2010-04-29,03:00:00,02:00:00,0.0279657832,-63.32,0.05,69.52,-1.07,10.18,0.05,-2.49,-7.42,-7.59,-6.005,0.378821569604299
2010-04-29,03:30:00,02:30:00,0.0228729512,-58.98,0.04,62.33,-2.63,11.45,9.68,-44.81,-14.69,-6.6,-5.01,0.50948688559555
2010-04-29,04:00:00,03:00:00,0.0191560758,-58.14,0,68.96,-0.51,10.06,6.29,-77.97,1.65,-5.02,-3.44,0.382694806878085
2010-04-29,04:30:00,03:30:00,0.0179249918,-60.95,-0.01,72.21,-0.5,9.26,8.2,-108.13,-0.3,-2.94,-1.045,0.324693364901272
2010-04-29,05:00:00,04:00:00,0.0199909217,-64.29,0.28,68.39,-2.98,10.03,0.32,-1.74,1.06,0.58,1.845,0.388939994005468
2010-04-29,05:30:00,04:30:00,0.0214682836,-61.26,9.37,67.38,3.87,10.59,0.44,1.77,-0.23,2.47,4.055,0.416676058733487
2010-04-29,06:00:00,05:00:00,0.0265136367,-30.37,50.66,62.03,47.51,12.48,-0.05,-1.65,1.56,6.32,7.59,0.549645482983725
2010-04-29,06:30:00,05:30:00,0.1510933302,30.97,131.66,49.24,122.62,16,0.8,-12.81,19.84,9.74,11.32,0.922962319014465
2010-04-29,07:00:00,06:00:00,0.7283374448,95.66,276.69,46.85,201.08,17.64,1.3,-37.95,47.2,14.46,15.41,1.07242348541082
2010-04-29,07:30:00,06:30:00,1.0465216984,179.96,498.14,45.9,309.86,18.59,-1.13,-83.09,80.62,16.46,16.775,1.1587203209565
2010-04-29,08:00:00,07:00:00,1.5935174765,248.6,540.61,43.16,392.52,19.64,-6.03,3.1,85.59,17.25,16.93,1.29974752582962
2010-04-29,08:30:00,07:30:00,2.2199777676,334.21,822.43,41.05,494.02,20.56,-6.41,52.67,118.24,18.06,16.795,1.42693088229571
2010-04-29,09:00:00,08:00:00,2.7006158887,388.37,933.23,39.92,558.67,20.97,-6.57,78.53,125.7,16.31,14.725,1.49144165965057
2010-04-29,09:30:00,08:30:00,3.1186552763,452.68,1068.66,38.71,635.06,21.6,-6.18,110.15,113.18,18.23,15.7,1.58137560578743
2010-04-29,10:00:00,09:00:00,3.4846498107,490.01,1156.39,37.49,680.43,22.37,-7.74,197.11,139.09,19.68,16.51,1.69036284960008
2010-04-29,10:30:00,09:30:00,3.7757891591,537.34,1265.63,35.71,738.5,22.92,-4.19,197.44,128.33,18.62,15.455,1.79746622376399
2010-04-29,11:00:00,10:00:00,4.0025429511,588.33,1377.71,36.79,802.01,23.28,-4.92,264.14,141.6,18.14,14.02,1.80614371795722
2010-04-29,11:30:00,10:30:00,4.1842454886,558.39,1323.08,35.15,769.17,23.49,-7.12,226.07,139.74,20.24,16.12,1.87662061174709
2010-04-29,12:00:00,11:00:00,4.2931682367,612.68,1445.14,34.08,835.28,23.72,-6.22,294.03,88.56,19.78,15.985,1.93418201821033
2010-04-29,12:30:00,11:30:00,4.3309874517,568.31,1353.02,33.09,783.9,24.29,-5.29,281.29,135.04,18.57,15.405,2.03155678567689
2010-04-29,13:00:00,12:00:00,4.2613121482,582.38,1387.86,32.62,802.26,24.46,-4.76,221.76,121.26,17.32,14.155,2.06674876789205
2010-04-29,13:30:00,12:30:00,4.1830203462,539.29,1305.32,32.84,752.53,24.65,-4.74,283.63,132.49,15.72,12.55,2.08352721621413
2010-04-29,14:00:00,13:00:00,4.1608589592,459.51,1139.93,32.22,655.86,24.83,-6.11,209.49,119.46,13.81,10.96,2.12547352932336
2010-04-29,14:30:00,13:30:00,4.0627009086,435.31,1094.8,30.95,626.67,24.86,-7.44,205.23,129.03,11.62,9.405,2.16917606526143
2010-04-29,15:00:00,14:00:00,3.964373421,394.45,1018.74,29.56,580.53,24.95,-4.69,199.24,135.9,10.5,7.97,2.2247455961394
2010-04-29,15:30:00,14:30:00,3.7632120814,392.04,1024.27,29.74,581.3,24.97,-7.15,167.93,113.02,9.1,6.565,2.22170652013162
2010-04-29,16:00:00,15:00:00,3.5415962629,311.79,871.2,30.4,493.08,24.81,-4.37,153.58,110.54,7.14,4.925,2.17994374816953
2010-04-29,16:30:00,15:30:00,3.3456292829,212.9,669.13,29.72,375.04,24.82,-4.49,81.3,76.63,5.16,3.58,2.20255546926244
2010-04-29,17:00:00,16:00:00,3.0931541984,140.44,513.93,31.15,285.67,24.55,-5.46,40.79,54.12,4.11,2.535,2.12323291357179
2010-04-29,17:30:00,16:30:00,2.579167921,127.31,487.33,32.63,269.78,23.9,-4.49,20.87,29.08,2.92,1.655,1.99823071579417
2010-04-29,18:00:00,17:00:00,2.1799176457,41.1,303.62,33.64,165.66,23.15,-2.15,1.86,21.81,1.49,0.86,1.88132442257399
2010-04-29,18:30:00,17:30:00,1.8156837732,-2.52,194.84,32.83,105.53,22.61,-0.49,-17.85,31.76,0.43,0.115,1.84304047452538
2010-04-29,19:00:00,18:00:00,1.471083561,-30.98,106.03,33.99,58.02,21.75,0.71,-31.95,16.55,-0.3,-0.62,1.71884121930556
2010-04-29,19:30:00,18:30:00,1.227363837,-58.07,36.9,34.16,19.55,21.64,5.35,-67.56,23.01,-1.5,-1.18,1.70293151910899
2010-04-29,20:00:00,19:00:00,1.0850214928,-60.17,4.26,34.37,-0.16,21.49,3.87,-48.5,24.67,-2.26,-1.625,1.68199913751586
2010-04-29,20:30:00,19:30:00,0.9986398648,-54.55,0.11,34.11,-1.58,21.41,5.39,-67.41,29.03,-2.64,-2.01,1.68041358792508
2010-04-29,21:00:00,20:00:00,0.9562566196,-62.68,0.02,34.23,-2.03,21.14,5.47,-76.46,32.71,-3.06,-2.425,1.64982252359746
2010-04-29,21:30:00,20:30:00,0.985912256,-72.35,0.02,33.96,-2.27,21.11,6.26,-92.38,42.58,-3.37,-2.73,1.65354849413911
2010-04-29,22:00:00,21:00:00,1.1019343498,-72.49,0.02,33.34,-2.31,21.39,4.67,-90.65,45.99,-3.52,-2.89,1.69797037615127
2010-04-29,22:30:00,21:30:00,1.185414341,-53.99,0.01,33.99,-1.26,21.23,7.73,-96.83,27.83,-3.96,-3.01,1.66500886747377
2010-04-29,23:00:00,22:00:00,1.1540700532,-40.66,0,38.1,-1.02,20.72,8.6,-98.72,55.97,-3.75,-3.43,1.51317761310882
2010-04-29,23:30:00,22:30:00,1.0123438508,-33.82,0.02,44.7,-1.09,20.01,6.51,-62.62,36.72,-4.44,-3.81,1.29387020613569
2010-04-30,00:00:00,23:00:00,0.844953218,-29.38,0,50.21,-1.58,19.1,8.42,-72.37,42.91,-4.42,-4.1,1.10092642377158
2010-04-30,00:30:00,23:30:00,0.5969609088,-32.45,0.05,52.55,-1.55,18.64,5.48,-54.7,21.32,-4.53,-4.215,1.0194744990146
2010-04-30,01:00:00,00:00:00,0.5421388766,-34.42,0,54.39,-3.48,18.41,6.56,-84.89,5.34,-4.64,-4.32,0.965929389844511
2010-04-30,01:30:00,00:30:00,0.4964577214,-42.65,-0.01,55.57,-1.33,18.09,7.48,-65.07,21.92,-5.07,-4.435,0.922232645018914
2010-04-30,02:00:00,01:00:00,0.4536537621,-45.27,0.04,57.33,-1.47,17.62,8.59,-58.53,-0.63,-4.91,-4.595,0.85988023264708
2010-04-30,02:30:00,01:30:00,0.4072131128,-48.55,0.01,59.57,-2.06,17.18,4.83,-50.62,4.48,-5.01,-4.375,0.792405231656657
2010-04-30,03:00:00,02:00:00,0.3615225302,-78.24,0.01,61.24,-2.6,16.91,5.45,-60.99,4.84,-4.08,-3.765,0.746790904227224
2010-04-30,03:30:00,02:30:00,0.3325390451,-59.93,0.03,62.68,-1.77,16.71,5.35,-59.77,-0.03,-3.64,-2.695,0.709976918278761
2010-04-30,04:00:00,03:00:00,0.3123632178,-45.53,0.03,64.32,-1.5,16.32,5.52,-52.66,4.51,-1.46,-1.135,0.662144464897884
2010-04-30,04:30:00,03:30:00,0.2813100072,-41.34,0.05,65.57,-1.36,16.08,3.96,-32.01,4.37,0.44,1.39,0.629242237849009
2010-04-30,05:00:00,04:00:00,0.2608013331,-35.61,0.15,66.11,-1.18,15.77,6.25,-40.17,5.39,3.96,4.275,0.607222651222135
2010-04-30,05:30:00,04:30:00,0.2928071103,-34.45,6.45,66.5,1.65,15.67,7.61,-34.26,7.12,6.11,6.745,0.596404723587801
2010-04-30,06:00:00,05:00:00,0.5033171879,-14.46,31.18,65.87,23.09,15.71,2.72,-20.04,-2.66,8.79,9.42,0.609178925277152
2010-04-30,06:30:00,05:30:00,1.0457286436,11.64,110.86,63.55,83.15,15.76,2.86,-17.01,23.98,11.7,12.34,0.652673550935924
2010-04-30,07:00:00,06:00:00,1.6393541223,34.45,126.35,63.17,75.06,15.87,-4.6,-12.78,23.52,14.47,15.1,0.664134505511024
2010-04-30,07:30:00,06:30:00,1.8199434044,94.59,262.1,63.57,157.22,15.93,-1.24,-4.16,63.72,15.4,15.72,0.659445946132452
2010-04-30,08:00:00,07:00:00,2.0711541638,111.97,318.55,61.98,183.79,15.9,-6.68,16.23,15.2,16.99,16.985,0.686909290058253
2010-04-30,08:30:00,07:30:00,2.2706194269,170.26,427.85,62.33,248.59,15.87,-7.6,53.19,74.02,16.64,16.64,0.67928174918817
2010-04-30,09:00:00,08:00:00,2.1565793245,238.74,564.77,64.57,333.11,15.45,-7.8,53.31,19.1,15.94,15.625,0.621932705727953
2010-04-30,09:30:00,08:30:00,1.8731622809,152.54,383.85,68.79,217.1,15,-9.32,41.13,20.38,16.81,16.81,0.532238559043332
2010-04-30,10:00:00,09:00:00,1.3709916961,102.45,279.85,76.52,154.53,14.4,-5.01,15.13,12.81,17.07,17.065,0.385207347935534
2010-04-30,10:30:00,09:30:00,1.1019438099,92.04,260.26,78.24,139.83,14.62,-5.55,-14.44,20.07,16.28,16.275,0.362101700023924
2010-04-30,11:00:00,10:00:00,1.7841531028,220.18,504.16,72.87,273.12,15.09,-6.07,0.21,63.22,15.75,15.745,0.465348028346505
2010-04-30,11:30:00,10:30:00,2.6490491221,338,725.06,69.08,417.17,15.22,-11.92,52.98,36.05,18.54,18.225,0.534808043814838
2010-04-30,12:00:00,11:00:00,2.3782846752,353.44,807.51,71,456.1,15.02,-12.64,86.51,9.76,18.04,17.41,0.495187556772179
2010-04-30,12:30:00,11:30:00,1.9171557873,207.32,485.29,73.08,277.69,14.58,-16.13,58.61,-6.67,17.25,16.93,0.446811936370263
2010-04-30,13:00:00,12:00:00,1.6038940248,153.6,375.61,73.41,212.23,14.25,-9.39,47,-3.68,15.73,15.73,0.432014426084563
2010-04-30,13:30:00,12:30:00,1.5861891228,122.96,320.56,75.33,173.34,14.19,-8.41,5.48,14.1,14.41,14.41,0.399264805658867
2010-04-30,14:00:00,13:00:00,1.5888795412,100.09,271.23,74.8,147.27,14.07,-8.62,10.96,13.79,12.65,12.965,0.404682048893495
2010-04-30,14:30:00,13:30:00,1.5478177413,103.38,281.76,77.82,152.38,13.37,-7.37,29.25,4.28,11.21,11.525,0.340331906926193
2010-04-30,15:00:00,14:00:00,0.9279634614,89.14,250,87.65,133.22,12.39,-7.83,15.36,-3.03,9.91,10.225,0.177721778545044
2010-04-30,15:30:00,14:30:00,0.4882993071,72.14,190.16,88.97,99.52,12.14,-5.51,-32.61,26.72,8.24,8.555,0.156136741576516
2010-04-30,16:00:00,15:00:00,0.3365855204,86.26,199.82,86.99,107.07,12.27,-5.7,-31.19,13.29,6.33,6.96,0.185747771037437
2010-04-30,16:30:00,15:30:00,0.2586831548,149.9,324.76,86.01,181.36,12.17,-7.13,1.24,-0.09,5.44,5.755,0.198429099339034
2010-04-30,17:00:00,16:00:00,0.1966602028,131.95,281.24,86.62,159.91,12.15,-7.47,-19.46,-1.43,4.43,4.74,0.189527289435911
2010-04-30,17:30:00,16:30:00,0.1561193854,67.71,160.15,86.76,89.16,12.17,-4.59,-33.89,-4,3.03,3.66,0.187791370639657
2010-04-30,18:00:00,17:00:00,0.1239605188,51.02,131.1,87.56,72.32,12.05,-2.41,-25.58,-3.78,2.17,2.805,0.175055031964051
2010-04-30,18:30:00,17:30:00,0.0760262575,53.1,134,88.33,74.3,11.89,-3.51,-35.61,-3.02,1.32,1.955,0.162495757590127
2010-04-30,19:00:00,18:00:00,0.0488050699,14.37,53.55,88.4,28.32,11.74,-0.93,-34.51,-10.19,0.19,1.14,0.159928993669556
2010-04-30,19:30:00,18:30:00,0.0403166942,-1.89,28.11,87.22,15.98,11.59,1.22,-35.64,-5.26,-0.32,0.315,0.174458818962349
2010-04-30,20:00:00,19:00:00,0.0248606377,-13.83,3.22,87.01,1.29,11.41,5.23,-44.09,-2.31,-1.17,-0.22,0.17522489089169
2010-04-30,20:30:00,19:30:00,0.0194058065,-19.24,0.12,86.1,-0.65,11.31,3.13,-38.98,-5.71,-1.44,-0.49,0.186261446717197
2010-04-30,21:00:00,20:00:00,0.0158779302,-21.6,0.05,85.99,-0.6,11.09,1.58,-19.52,-1.45,-1.69,-1.06,0.185014387518623
2010-04-30,21:30:00,20:30:00,0.008674954,-28.43,0.03,85.54,-0.46,10.98,2.97,-40.25,-1.53,-2.42,-1.475,0.189566260847586
2010-04-30,22:00:00,21:00:00,0.0101501754,-55.67,0.02,86.4,-1.99,10.68,1.22,-26.77,-1.58,-2.63,-1.68,0.174766947225284
2010-04-30,22:30:00,21:30:00,0.0179745794,-69.01,-0.01,85.74,-2.16,10.6,0.51,-13.89,-2.15,-3.3,-2.035,0.182273588276802
2010-04-30,23:00:00,22:00:00,0.0270294939,-64.13,0,84.76,-1.98,10.58,1.46,-32.69,2.38,-3.4,-2.445,0.194540446204254
2010-04-30,23:30:00,22:30:00,0.0355928706,-66.05,-0.02,85.07,-1.86,10.43,2.19,-43.86,-1.69,-4.01,-2.75,0.188684918528878
2010-05-01,00:00:00,23:00:00,0.0433458516,-69.29,0.04,86.64,-2,10.23,2.93,-57.85,-1.98,-4.34,-3.075,0.16660149581497
2010-05-01,00:30:00,23:30:00,0.0475387569,-69.07,0.01,87.49,-2.05,9.99,3.35,-52.5,-3.2,-4.26,-3.315,0.153515213969858
2010-05-01,01:00:00,00:00:00,0.0516434624,-60.54,0.01,87.64,-1.89,10.09,3.03,-49.91,-4.07,-4.7,-3.43,0.152693962154007
2010-05-01,01:30:00,00:30:00,0.054701333,-26.36,0,88.01,-0.49,10.28,5.51,-46.14,-2.03,-4.55,-3.595,0.150018126075377
2010-05-01,02:00:00,01:00:00,0.054701333,-20.82,0.03,87.98,-0.35,10.36,4.56,-33.01,-0.65,-4.93,-3.665,0.151199789008895
2010-05-01,02:30:00,01:30:00,0.0516463031,-29.39,0.01,88.22,-0.81,10.49,2.36,-31.38,-0.26,-4.34,-3.385,0.149472853994595
2010-05-01,03:00:00,02:00:00,0.0358800241,-20.03,0.01,88.41,-0.39,10.64,2.68,-25.47,-0.55,-3.69,-2.735,0.148540857804527
2010-05-01,03:30:00,02:30:00,0.0339282975,-16,0,88.52,-0.2,10.67,2.14,-25.64,-0.97,-2.41,-1.46,0.147425578233527
2010-05-01,04:00:00,03:00:00,0.0338122417,-13.63,0.02,87.49,-0.27,10.86,2.27,-15.92,-1.34,0.01,0.645,0.162698531509937
2010-05-01,04:30:00,03:30:00,0.0344221998,-35.4,0.01,87.58,-1.04,10.85,2.24,-28.46,-3.93,2.58,3.215,0.161420578329858
2010-05-01,05:00:00,04:00:00,0.0292664638,-33.72,0.27,88.16,-0.79,10.74,2.24,-30.58,-2.78,5.1,5.725,0.152759505645077
2010-05-01,05:30:00,04:30:00,0.0271379008,-44.97,9.45,87.66,3.48,10.99,1.81,-41.38,-0.17,7.53,8.165,0.161881279456048
2010-05-01,06:00:00,05:00:00,0.0214925339,-19.14,38.41,87.2,21.17,11.23,0.61,-18.57,-0.18,9.77,10.4,0.170613618140526
2010-05-01,06:30:00,05:30:00,0.0187952919,12.93,93.68,87.22,54.58,11.36,-0.94,-15.92,-1.58,12.61,12.925,0.171821914030167
2010-05-01,07:00:00,06:00:00,0.023595972,28.79,77.57,87.59,44.51,11.47,0.45,-3.56,2.17,14.73,15.04,0.168067756648708
2010-05-01,07:30:00,06:30:00,0.0485322969,26.36,75.52,87.22,42.5,11.66,-0.41,-7.64,6.46,15.76,16.075,0.175268380247684
2010-05-01,08:00:00,07:00:00,0.1065288812,51.63,139.66,86.94,77.91,11.7,-0.32,0.69,5.02,17.12,17.12,0.179582630475293
2010-05-01,08:30:00,07:30:00,0.227792822,74.78,213.13,85.32,116.14,12.03,-2.49,5.32,-3.02,18.13,17.815,0.20630403158371
2010-05-01,09:00:00,08:00:00,0.6340985671,69.96,182.96,81.32,101.04,12.4,-3.04,4.86,65.6,17.68,17.68,0.26898993580336
2010-05-01,09:30:00,08:30:00,1.234801098,137.26,359.82,78.24,196.08,12.67,-6.57,33.61,23.08,18.73,18.095,0.318945885728837
