TIMESTAMP_START,TIMESTAMP_END,DTime,NETRAD,P,PA,PPFD_DIF,PPFD_IN,PPFD_OUT,RH,SW_IN,SW_OUT,TA,TS,TS_2,TS_3,WD,WS,CO2,FC,H,H2O,LE,SB,SC,SH,SLE,TAU,USTAR,ZL,PRI,G,SAP_FLOW
201001010000,201001010030,1.021,-6.15,0,95.43,0,0.03,0.13,92.96,0.4,0.43,5.32,6.27,6.29,6.26,219.4,1.29,414.82,0.79,-6.23,8.3,-1.57,-1.51,0.68,-0.88,-9999,0.09,0.27,0.08,-9999,-1.255,-9999
201001010030,201001010100,1.042,-6.27,0,95.41,0,0.02,0.14,93,0.27,0.42,5.29,6.26,6.28,6.27,215.39,1.16,415.45,1.06,-4.83,8.3,-0.25,-1.51,0.11,-0.55,-49.27,0.08,0.25,0.08,-9999,-1.26,-9999
201001010100,201001010130,1.062,-6.31,0,95.4,0,0.01,0.11,93.31,0.14,0.43,5.27,6.25,6.28,6.27,207.88,1.1,416.66,0.44,-9.46,8.36,-1.92,-1.52,1.13,-0.22,-64.44,0.07,0.25,0.17,-9999,-1.295,-9999
201001010130,201001010200,1.083,-6.3,0,95.39,0,0.02,0.15,93.6,0.29,0.49,5.29,6.25,6.27,6.27,204,1.08,416.91,0.63,-5.74,8.4,-1.25,-1.57,0.26,0.28,8.38,0.07,0.23,0.12,-9999,-1.32,-9999
201001010200,201001010230,1.104,-7.72,0,95.38,0,0.02,0.14,93.61,0.18,0.44,5.27,6.23,6.27,6.27,228.12,1.38,417.97,0.31,-5.66,8.34,-0.71,-1.72,0.38,-0.25,18.65,0.06,0.22,0.13,-9999,-1.335,-9999
201001010230,201001010300,1.125,-44.22,0,95.35,0,0.02,0.15,93.73,-1.34,0.92,5.1,6.23,6.26,6.27,241.83,1.95,420.22,0.83,-16.98,8.17,1.8,-1.71,1.54,-2.72,-78.96,0.18,0.39,0.08,-9999,-1.455,-9999
201001010300,201001010330,1.146,-13.23,0,95.34,0,0.02,0.11,94.1,-0.41,0.72,4.92,6.22,6.26,6.27,232.98,1.49,420.47,0.88,-12.98,8.25,0.23,-2.35,-0.23,-2.89,-31.31,0.12,0.31,0.11,-9999,-2.195,-9999
201001010330,201001010400,1.167,-5.87,0,95.34,0,0,0.14,94.31,-0.26,0.52,4.86,6.21,6.25,6.27,229.28,0.95,420.01,0.63,-7.51,8.3,-0.36,-2.85,0.24,-0.92,3.75,0.06,0.22,0.19,-9999,-2.44,-9999
201001010400,201001010430,1.188,-2.72,0,95.34,0,0.02,0.14,94.37,-0.22,0.24,4.79,6.19,6.25,6.27,269.42,0.81,421.54,0.83,-2.24,8.24,-1.41,-2.86,1.4,-1.08,5.97,0.02,0.12,0.39,-9999,-2.23,-9999
201001010430,201001010500,1.208,-2.44,0,95.34,0,0.01,0.13,94.49,-0.26,0.01,4.61,6.18,6.24,6.27,299.9,1.2,431.85,-0.14,-4.15,8.1,-0.04,-2.38,2.3,-2.95,-25.93,0.05,0.2,0.14,-9999,-1.965,-9999
