"","V1","V2","V3"
"NETRAD_1h30",0.28370469979893,-0.107470336571141,-0.0615532268957373
"P",-0.0198263870310296,0.026257235040141,0.104255713268978
"PA_3h",0.0412916279525712,0.0417139595124462,-0.268283413490877
"PPFD_DIF_1h",0.245204823278377,-0.117090624514321,-0.0224804616115587
"PPFD_IN_1h",0.287198480331164,-0.0986502611600771,-0.0800074793537585
"PPFD_OUT_1h",0.27883619665696,-0.130001710557888,-0.0831241698029077
"RH_3h",-0.147028215911651,-0.0766770738292482,-0.0346405071670966
"SW_IN_1h",0.285287924059094,-0.104321484074801,-0.0833450989155131
"SW_OUT_30m",0.278360394581512,-0.103970561929589,-0.0884420318030927
"TA",0.241656347448253,0.247764054319639,0.0859413706576345
"TS",0.124836013911624,0.434601714593859,0.0984815483691117
"TS_2",0.112968891114964,0.43676418388379,0.0929196835646049
"TS_3",0.103356000134696,0.427299599412937,0.081982035230448
"WD_1h30",0.0368449886815411,-0.0117986022038874,0.146545254942259
"WS",0.0384183302893322,-0.159387028241641,0.492196277404268
"CO2_3h",-0.0985929788850981,-0.0306646492286012,-0.195468014915186
"FC_3h",-0.208970859154215,0.0386005458904913,-0.0219672462148488
"H_1h30",0.239287051355018,-0.140117814733752,-0.165315957879523
"H2O_3h",0.104660933034367,0.361505718055733,0.155124282774512
"LE_30m",0.26121384369197,-0.0334726732067763,-0.0652618145006663
"SB",0.256397417972643,-0.00107285400961087,0.0640790781282288
"SC",-0.0211312189758917,0.0499196068655629,0.0290792781815877
"SH_3h",0.159183041312614,-0.155200022874296,-0.0259487743248307
"SLE_3h",0.0440088546251237,-0.0460009668400756,0.0273546371411974
"TAU_30m",0.0261277861252364,-0.198438658887237,0.484441505545375
"USTAR_30m",0.0633020672826475,-0.199919805545912,0.490406178077408
"ZL",-0.054768214649866,0.0326109985663671,0.0780592667070701
"G",0.242429745201975,0.0336038291251113,0.071948037377749
"VPD",0.257966615195789,0.0695985417273663,-0.0155507991903559
