"","SAP_FLOW","P_1h","PA_3h","PPFD_DIF_1h","PPFD_IN_1h","TA","TS","WD_1h30","WS","CO2","FC_1h","H_1h30","H2O_3h","LE_30m","SB","SC_3h","SH_3h","SLE_3h","USTAR_30m","ZL_3h","VPD"
"1",0.1166699551,0,97.34,0,0.02,7.14,8.99,324.43,0.73,424.52,-0.13,-2.76,8.54,1.07,-4.35,0.39,-3.86,68.01,0.06,0.18,0.113493714810845
"2",0.1418731145,0.8,96.52,0,0,12.23,10.57,237.43,1.99,408.79,1.87,93.13,10.73,4.04,2.78,-0.07,-0.4,-41.44,0.5,0.02,0.0998208216227918
"3",0.0263880993333333,0,97.51,0,9.93,1.49,9.94,32.59,1.55,439.66,0.02,-12.01,8.27,NA,-12.62,1.42,-5.11,-20.68,0.26,2.61,0.0423145291960491
"4",0.0309491758888889,0,97.37,0,0.04,9.15,12.66,118.42,0.71,444.38,-0.16,-3.65,11.34,-0.14,-7.08,0.69,-1.17,39.6,0.1,0.66,0.0686569722664863
"5",0.0568159048,0,98.88,176.7,217.23,7.3,9,198.74,0.88,418.11,1.62,-21.15,8.3,6.41,3.13,-3.61,-2.26,-5.09,0.17,0.83,0.074758257057429
"6",1.23860383277778,0,96.85,82.58,87.22,13.91,14.61,199.7,2.51,392.73,-2.62,-61.92,11.64,62.66,-0.6,0.61,-4.65,45.13,0.87,-0.01,0.335022784444648
"7",7.1418385577,0,98.1,505.76,1469.42,20.5,12.07,48.95,2.06,384.74,-19.61,224.08,10.66,161.55,8.12,-1.16,17.94,-18.01,0.54,-0.52,1.30638608162556
"8",0.0287213597777778,0,97.46,0,0.06,8.22,12.25,63.77,2.34,428.31,0.05,-50.66,12.46,NA,-8.2,-1.07,1.7,2.4,0.31,1.72,0.190675009597632
"9",0.0786162878,0,97.93,0,0.04,14.29,15.33,157.43,0.35,437.21,21.56,-101.79,12.86,3.02,-5.95,-0.14,1.64,-21.32,0.07,1.59,0.274639114021354
"10",0.0339561471111111,0,97.99,343.36,482.36,11.23,9.28,228.48,2.32,418.22,7.4,27.81,11.14,53.13,2.46,0.68,4.99,40.74,0.63,-0.08,0.362953814216135
"11",0.284472145666667,0,98.33,88.2,111.82,4.96,8.87,190.85,1.71,403.9,-1.56,-0.31,7.09,-0.16,-5.43,0.12,1.1,17.46,0.15,-0.34,0.154055448398271
"12",0.288544302666667,0,96.62,225.64,236.13,14.76,13.72,187.94,2.02,402.01,-7.13,-34.58,14.38,-9.25,2.32,-0.07,3.04,105.34,0.52,1.28,0.218124719426856
"13",0.0421778917777778,0,97.93,0,0.02,12.21,13.43,49.31,1.63,434.5,-0.05,-16.03,13.42,-2.1,-2.62,1.76,-12.53,-150.23,0.19,0.6,0.115048221743286
"14",6.2723778411,0,98.18,789.08,1054.7,17.58,14.71,245.93,1.32,389.48,-24.62,22.93,11.66,208.73,5.75,-0.08,8.53,NA,0.35,-0.63,0.872990352090896
"15",0.1119462391,0,97.36,0,0.02,13.31,14.42,20.5,1.17,413.54,0.89,-10.12,13.61,9.34,-2.05,0.41,-13.17,-104.86,0.14,0,0.319438682185604
"16",7.3517897882,0,98.52,376.74,1306.59,15.17,11.87,24.7,2.14,394.51,-12.83,186.13,9.65,117.14,4.18,-0.17,11.12,12.26,0.43,-3.62,0.832568164747118
"17",0.1384045006,0,97.71,0,0.25,18.72,14.77,138.14,1.37,439.13,9.67,-16.16,14.64,0.28,-4.45,1.83,-22.43,175.6,0.12,0.08,0.565088976898968
"18",0.0927870358,0,97.57,130.88,137.15,4.7,9.09,40.91,3.36,406.54,-1.68,4.8,5.36,14.79,2.27,-0.26,-4.28,-53.44,0.79,0.01,0.322806475184736
"19",7.3565273333,0,96.9,377.32,577.75,28.82,18.98,162.13,2.26,393.45,-11.24,-15.48,19.7,324.47,16.41,-0.74,12.91,NA,0.41,-1.06,1.92303258969982
"20",7.7617597573,0,98.17,863.6,1241.42,28.12,17.19,268.5,1.65,389.61,-21.8,-3.83,16.88,240.56,16.89,2.34,6.03,-8.53,0.43,-2.76,2.03986131680975
"21",0.2152416589,0,97.93,0,0.04,17.48,13.69,148.81,1.8,425.6,7.12,-46.38,8.95,15.25,-1.41,1.59,-10.88,NA,0.27,NA,0.81057066623489
"22",0.0431871477,0,98.79,0,0.02,4.28,9.15,159.67,0.79,426.42,5.79,-24.5,7.66,-0.61,-3.48,5.84,-22.97,-66.41,0.18,1.44,0.102517367248012
