SAP_FLOW	dates	heure_solaire	PPFD_IN_1h	TS	WD_2h	CO2	FC_1h	H2O_3h	SB	SH_3h	SLE_3h	ZL_3h	VPD
2.4575248261	2010-04-28 11:00:00	2017-10-23 10:00:00	1335.29	10.19	15.72	401.57	-1.98	8.74	17.63	25.82	-21.43	-1.41	1.4392471633
2.5243538813	2010-04-28 11:30:00	2017-10-23 10:30:00	1403.67	10.34	336.53	401.19	-2.61	9.21	19.2	7.3	187.06	-0.79	1.5088305476
2.5506255252	2010-04-28 12:00:00	2017-10-23 11:00:00	1436.48	10.45	337.02	400.86	-3.67	9.36	18.29	12.29	-14.6	-1.09	1.5562139753
2.6961248307	2010-04-28 12:30:00	2017-10-23 11:30:00	1454.57	10.54	336.96	400.11	-1.72	9.44	16.78	6.78	117.37	-0.76	1.5874266913
2.8029273009	2010-04-28 13:00:00	2017-10-23 12:00:00	1454.24	10.64	330.89	399.34	-5.08	9.06	16.13	1.58	NA	-0.54	1.6320099995
2.7837339532	2010-04-28 13:30:00	2017-10-23 12:30:00	1431.8	10.73	340.96	398.84	-2.37	8.55	13.96	5.84	NA	-0.85	1.7036047691
2.8107037453	2010-04-28 14:00:00	2017-10-23 13:00:00	1385.25	10.81	8.09	398.35	-0.83	8.47	11.7	8.58	49.82	-0.65	1.7588910237
2.8954188592	2010-04-28 14:30:00	2017-10-23 13:30:00	1320.2	10.87	340.88	398.11	-2.47	8.46	9.22	5.94	49.99	-0.31	1.8052330944
2.8726008418	2010-04-28 15:00:00	2017-10-23 14:00:00	1232.53	10.95	334.34	398.28	-1.22	8.59	8.86	6.12	-16.4	-0.4	1.8726990107
2.7340377829	2010-04-28 15:30:00	2017-10-23 14:30:00	1114.34	11.03	337.66	398.38	-2.09	8.71	7.81	4.72	82.31	-0.36	1.8979131237
2.6570023517	2010-04-28 16:00:00	2017-10-23 15:00:00	1011.25	11.1	331.49	398.37	-1.08	8.69	5.78	4.56	-17	-0.33	1.8819032561
2.5628983128	2010-04-28 16:30:00	2017-10-23 15:30:00	879.62	11.16	342.36	398.38	-2.3	8.52	3.88	5.71	-86.36	-0.31	1.8755843547
2.3938492643	2010-04-28 17:00:00	2017-10-23 16:00:00	742.94	11.22	348.91	399.1	-1.27	8.35	2.73	4.26	-145.03	-0.28	1.8735367904
2.1099581687	2010-04-28 17:30:00	2017-10-23 16:30:00	602.23	11.26	347.66	398.98	-1.63	8.1	1.17	2.44	-108.55	-0.33	1.786233704
1.9002821997	2010-04-28 18:00:00	2017-10-23 17:00:00	394.59	11.29	338.95	400.14	0.02	7.82	0.19	3.97	-71.55	-0.34	1.7071023621
1.5392248389	2010-04-28 18:30:00	2017-10-23 17:30:00	257.67	11.31	351.2	402.51	-1.49	7.76	-0.75	2.09	38.72	-0.44	1.5170831904
1.1873461987	2010-04-28 19:00:00	2017-10-23 18:00:00	125.66	11.3	358.86	405.35	0.1	7.76	-2.26	-1.44	22.32	-0.37	1.4411421901
0.9650022733	2010-04-28 19:30:00	2017-10-23 18:30:00	38.1	11.28	12.7	413.73	0.33	7.72	-3.2	-0.92	-95.61	-0.27	1.1668000508
0.8072964991	2010-04-28 20:00:00	2017-10-23 19:00:00	5.25	11.26	10.47	422.92	0.08	7.58	-3.75	-1.41	27.12	-0.21	0.9298055644
0.6428975783	2010-04-28 20:30:00	2017-10-23 19:30:00	0.15	11.23	22.04	424.21	8.12	7.76	-4.43	-6.75	72.61	-0.14	0.8657305262
0.5108643168	2010-04-28 21:00:00	2017-10-23 20:00:00	0.05	11.19	80.12	421.97	12.87	7.74	-5.1	-7.86	-16.57	-0.14	0.786884894
0.3787886171	2010-04-28 21:30:00	2017-10-23 20:30:00	0.02	11.15	114.91	427.06	9.62	8	-5.17	-17.03	194.62	0.82	0.6944608566
0.2570168057	2010-04-28 22:00:00	2017-10-23 21:00:00	0.03	11.09	116.69	428.81	5.54	7.67	-5.92	-11.46	-130.13	0.56	0.6150572631
0.165579532	2010-04-28 22:30:00	2017-10-23 21:30:00	0.05	11.04	113.38	430.77	8.06	8.04	-6.06	-25.17	NA	0.9	0.5733483168
0.1201451272	2010-04-28 23:00:00	2017-10-23 22:00:00	0.02	10.98	139.59	431.29	5.93	8.28	-6.89	-25.96	-32.68	3.58	0.5421372265
0.0932567348	2010-04-28 23:30:00	2017-10-23 22:30:00	0.02	10.93	130.22	424.94	2.45	8.01	-7.03	-12.51	-146.9	0.7	0.5858372818
0.0699298924	2010-04-29 00:00:00	2017-10-23 23:00:00	0.01	10.88	130.01	426.74	5.53	8.2	-7.33	-9.39	110.4	1.1	0.5575331922
0.1251242235	2010-04-29 00:30:00	2017-10-23 23:30:00	0.02	10.82	121.26	426.41	0.01	8.34	-7.89	-12.32	60.33	1.05	0.5650655574
0.0954912357	2010-04-29 01:00:00	2017-10-23 00:00:00	0.02	10.76	127.64	431.72	0.63	8.36	-8.15	-12.03	-57.52	2.02	0.4965650288
0.0738480307	2010-04-29 01:30:00	2017-10-23 00:30:00	0	10.71	141.01	433.59	0.93	8.41	-8.2	-6.77	-2.21	1.56	0.4010553262
0.0556786044	2010-04-29 02:00:00	2017-10-23 01:00:00	0.02	10.66	146.84	428.9	2.21	8.44	-8.35	-5.19	-16.81	2.67	0.4150196343
0.0428669761	2010-04-29 02:30:00	2017-10-23 01:30:00	0	10.6	139.05	437.18	-1.47	8.34	-8.46	5.8	22.21	-2.01	0.3216682192
0.0279657832	2010-04-29 03:00:00	2017-10-23 02:00:00	0.05	10.55	130.84	429.55	0.05	8.4	-7.59	-4.64	-5.57	0.69	0.3788215696
0.0228729512	2010-04-29 03:30:00	2017-10-23 02:30:00	0.04	10.5	138.42	424.1	9.68	8.42	-6.6	1.42	17.53	2.52	0.5094868856
0.0191560758	2010-04-29 04:00:00	2017-10-23 03:00:00	0	10.45	164.97	430.36	6.29	8.59	-5.02	-10.25	19.72	4.24	0.3826948069
0.0179249918	2010-04-29 04:30:00	2017-10-23 03:30:00	-0.01	10.39	148.53	427.95	8.2	8.71	-2.94	-15.82	32.21	-7	0.3246933649
0.0199909217	2010-04-29 05:00:00	2017-10-23 04:00:00	0.28	10.35	149.78	427.67	0.32	8.69	0.58	2.53	39.92	0.78	0.388939994
0.0214682836	2010-04-29 05:30:00	2017-10-23 04:30:00	9.37	10.3	153.2	431.06	0.44	8.85	2.47	-17.3	-3.04	4.95	0.4166760587
0.0265136367	2010-04-29 06:00:00	2017-10-23 05:00:00	50.66	10.26	153.28	418.6	-0.05	8.57	6.32	8.82	-66.37	5.43	0.549645483
0.1510933302	2010-04-29 06:30:00	2017-10-23 05:30:00	131.66	10.21	187.21	410.88	0.8	8.37	9.74	19.56	74.74	2.27	0.922962319
0.7283374448	2010-04-29 07:00:00	2017-10-23 06:00:00	276.69	10.18	158.82	409.02	1.3	8.54	14.46	-21.49	-90.2	0.3	1.0724234854
1.0465216984	2010-04-29 07:30:00	2017-10-23 06:30:00	498.14	10.17	138.27	407.38	-1.13	8.5	16.46	-12.4	-27.65	-13.83	1.158720321
1.5935174765	2010-04-29 08:00:00	2017-10-23 07:00:00	540.61	10.18	174.73	405.4	-6.03	8.43	17.25	11.98	9.12	0.67	1.2997475258
2.2199777676	2010-04-29 08:30:00	2017-10-23 07:30:00	822.43	10.22	198.41	404.16	-6.41	8.65	18.06	8.74	108.79	0.9	1.4269308823
2.7006158887	2010-04-29 09:00:00	2017-10-23 08:00:00	933.23	10.27	217.12	404.25	-6.57	8.82	16.31	29.29	50.73	2.76	1.4914416597
3.1186552763	2010-04-29 09:30:00	2017-10-23 08:30:00	1068.66	10.35	219.46	404.25	-6.18	8.87	18.23	53.68	NA	0.16	1.5813756058
3.4846498107	2010-04-29 10:00:00	2017-10-23 09:00:00	1156.39	10.45	208.7	403.4	-7.74	9.43	19.68	24.78	NA	0	1.6903628496
3.7757891591	2010-04-29 10:30:00	2017-10-23 09:30:00	1265.63	10.55	226.58	401.82	-4.19	9.8	18.62	14.35	45.86	-0.07	1.7974662238
4.0025429511	2010-04-29 11:00:00	2017-10-23 10:00:00	1377.71	10.68	216.04	400.12	-4.92	9.84	18.14	15.79	-3.04	-0.06	1.806143718
