"","predict.lm.mod..newdata...as.data.frame.t.X..."
"X00.00",0.0602567993890016
"X00.30",0.0344655216079231
"X01.00",0.0215993259557129
"X01.30",0.0645623629913211
"X02.00",0.0612298483542366
"X02.30",0.0430217574115332
"X03.00",0.0379953317229222
"X03.30",0.0374418489897633
"X04.00",0.0745350464666351
"X04.30",0.133028115102913
"X05.00",0.255448207670408
"X05.30",0.471249223320949
"X06.00",0.78527288659789
"X06.30",1.16517074535492
"X07.00",1.6311658751011
"X07.30",1.97948489486096
"X08.00",2.68277388420961
"X08.30",3.21303398808833
"X09.00",3.80661526494015
"X09.30",4.21576252878621
"X10.00",4.51946645334923
"X10.30",4.8027878066076
"X11.00",5.02444911891299
"X11.30",5.2648207957571
"X12.00",5.22582611041745
"X12.30",5.01474082708746
"X13.00",4.80673296216001
"X13.30",4.52543139069552
"X14.00",4.28953685929592
"X14.30",3.9178918728092
"X15.00",3.4932231527136
"X15.30",3.11337960855202
"X16.00",2.63608705506017
"X16.30",2.19301834170806
"X17.00",1.72125921871336
"X17.30",1.2554589553097
"X18.00",0.901027341345005
"X18.30",0.614254646325566
"X19.00",0.37182639036096
"X19.30",0.217271026979531
"X20.00",0.149705136609352
"X20.30",0.0995346120774094
"X21.00",0.0710537228979529
"X21.30",0.0588419965356277
"X22.00",0.03495603828989
"X22.30",0.0297894298409807
"X23.00",0.0594793764636419
"X23.30",0.0657967371745075
