DATE_OBS,TIME_OBS,SPECIES,TREE_DESCR,MEASUREMENT_DESCR,NUM_TREES,MEAN_TRANS_RATE,MEAN_AIR_TEMP_1HR_150CM,MEAN_REL_HUM_1HR_150CM,MEAN_AIR_TEMP_3HR_240CM,MEAN_REL_HUM_3HR_240CM,MEAN_AIR_TEMP_1HR_25M,MEAN_VAPOR_PRESS_1HR_25M,MEAN_DOWN_SHRTWAVE_RAD_3HR_4M,MEAN_DOWN_SHRTWAVE_RAD_1HR_18M,MEAN_WIND_VELOCITY_1HR_18M,SAP_FLOW
1996-04-19,9,Populus tremuloides,Clone A,abx,3,-0.006,-4.3,,,,,,,,,-2.0
1996-04-19,10,Populus tremuloides,Clone A,abx,3,-0.001,-4.4,,,,,,,,,-0.3
1996-04-19,11,Populus tremuloides,Clone A,abx,3,-0.012,-4.4,,,,,,,,,-3.8
1996-04-19,12,Populus tremuloides,Clone A,abx,3,0.006,-4.6,,,,,,,,,1.9
1996-04-19,13,Populus tremuloides,Clone A,abx,3,-0.001,-4.6,,,,,,,,,-0.3
1996-04-19,14,Populus tremuloides,Clone A,axx,3,-0.003,-4.3,,,,,,,,,-0.9
1996-04-19,15,Populus tremuloides,Clone A,axx,3,-0.002,-3.6,,,,,,,,,-0.7
1996-04-19,16,Populus tremuloides,Clone A,axx,3,0.008,-2.5,,,,,,,,,2.7
1996-04-19,17,Populus tremuloides,Clone A,axx,3,0.019,-1.5,,,,,,,,,6.0
1996-04-19,18,Populus tremuloides,Clone A,abx,3,-0.004,-0.4,,,,,,,,,-1.2
1996-04-19,19,Populus tremuloides,Clone A,abx,3,-0.006,0.3,,,,,,,,,0.6
1996-04-19,19,Populus tremuloides,Clone B,xef,3,-0.006,0.3,,,,,,,,,-2.7
1996-04-19,20,Populus tremuloides,Clone A,abx,3,0.006999999999999999,0.5,,,,,,,,,0.2
1996-04-19,20,Populus tremuloides,Clone B,xef,3,0.006999999999999999,0.5,,,,,,,,,2.1
1996-04-19,21,Populus tremuloides,Clone A,abx,3,0.011000000000000001,0.5,,,,,,,,,-0.4
1996-04-19,21,Populus tremuloides,Clone B,xef,3,0.011000000000000001,0.5,,,,,,,,,4.0
1996-04-19,22,Populus tremuloides,Clone A,abx,3,0.013000000000000001,0.4,,,,,,,,,-0.5
1996-04-19,22,Populus tremuloides,Clone B,xef,3,0.013000000000000001,0.4,,,,,,,,,4.6
1996-04-19,23,Populus tremuloides,Clone A,abx,3,0.015,0.3,,,,,,,,,-0.2
1996-04-19,23,Populus tremuloides,Clone B,xef,3,0.015,0.3,,,,,,,,,4.9
1996-04-20,0,Populus tremuloides,Clone A,abx,3,0.016,0.1,,,,,,,,,0.2
1996-04-20,0,Populus tremuloides,Clone B,xef,3,0.016,0.1,,,,,,,,,5.0
1996-04-20,1,Populus tremuloides,Clone A,abx,3,0.017,-0.3,,,,,,,,,0.2
1996-04-20,1,Populus tremuloides,Clone B,xef,3,0.017,-0.3,,,,,,,,,5.3
1996-04-20,2,Populus tremuloides,Clone A,abx,3,0.023,-0.9,,,,,,,,,0.9
1996-04-20,2,Populus tremuloides,Clone B,xef,3,0.023,-0.9,,,,,,,,,6.5
1996-04-20,3,Populus tremuloides,Clone A,abx,3,0.031,-1.5,,,,,,,,,10.5
1996-04-20,3,Populus tremuloides,Clone B,xef,3,0.031,-1.5,,,,,,,,,-0.5
1996-04-20,4,Populus tremuloides,Clone A,abx,3,-0.009000000000000001,-2.1,,,,,,,,,-3.0
1996-04-20,4,Populus tremuloides,Clone B,xef,3,-0.009000000000000001,-2.1,,,,,,,,,0.2
1996-04-20,5,Populus tremuloides,Clone A,abx,3,-0.064,-2.6,,,,,,,,,-12.2
1996-04-20,5,Populus tremuloides,Clone B,xef,3,-0.064,-2.6,,,,,,,,,-8.3
1996-04-20,6,Populus tremuloides,Clone A,abx,3,-0.025,-3.0,,,,,,,,,-2.3
1996-04-20,6,Populus tremuloides,Clone B,xef,3,-0.025,-3.0,,,,,,,,,-5.9
1996-04-20,7,Populus tremuloides,Clone A,abx,3,-0.047,-3.4,,,,,,,,,-2.8
1996-04-20,7,Populus tremuloides,Clone B,xef,3,-0.047,-3.4,,,,,,,,,-12.3
1996-04-20,8,Populus tremuloides,Clone A,abx,3,-0.043,-3.6,,,,,,,,,-1.4
1996-04-20,8,Populus tremuloides,Clone B,xef,3,-0.043,-3.6,,,,,,,,,-12.5
1996-04-20,9,Populus tremuloides,Clone A,abx,3,-0.045,-3.8,,,,,,,,,-1.7
1996-04-20,9,Populus tremuloides,Clone B,xef,3,-0.045,-3.8,,,,,,,,,-12.9
1996-04-20,10,Populus tremuloides,Clone A,abx,3,-0.04,-3.8,,,,,,,,,-1.4
1996-04-20,10,Populus tremuloides,Clone B,xef,3,-0.04,-3.8,,,,,,,,,-11.5
1996-04-20,11,Populus tremuloides,Clone A,abx,3,-0.044000000000000004,-3.8,,,,,,,,,-1.7
1996-04-20,11,Populus tremuloides,Clone B,xef,3,-0.044000000000000004,-3.8,,,,,,,,,-12.5
1996-04-20,12,Populus tremuloides,Clone A,abx,3,-0.049,-3.8,,,,,,,,,-3.4
1996-04-20,12,Populus tremuloides,Clone B,xef,3,-0.049,-3.8,,,,,,,,,-12.5
1996-04-20,13,Populus tremuloides,Clone A,abx,3,-0.043,-3.8,,,,,,,,,-2.4
1996-04-20,13,Populus tremuloides,Clone B,xef,3,-0.043,-3.8,,,,,,,,,-11.5
1996-04-20,14,Populus tremuloides,Clone A,abx,3,-0.033,-3.6,,,,,,,,,-0.8
1996-04-20,14,Populus tremuloides,Clone B,xef,3,-0.033,-3.6,,,,,,,,,-9.8
1996-04-20,15,Populus tremuloides,Clone A,axx,3,,-3.0,,,,,,,,,-4.2
1996-04-20,16,Populus tremuloides,Clone A,axx,3,,-1.6,,,,,,,,,-2.2
1996-04-20,17,Populus tremuloides,Clone A,abx,3,-0.034,0.0,,,,,,,,,-4.4
1996-04-20,17,Populus tremuloides,Clone B,xef,3,-0.034,0.0,,,,,,,,,-6.6
1996-04-20,18,Populus tremuloides,Clone A,abx,3,0.008,1.3,,,,,,,,,0.3
1996-04-20,18,Populus tremuloides,Clone B,xef,3,0.008,1.3,,,,,,,,,2.4
1996-04-20,19,Populus tremuloides,Clone A,abx,3,0.012,2.6,,,,,,,,,-1.0
