SITE_NAME	SUB_SITE	DATE_OBS	TIME_OBS	TREE_ID	SPECIES	SAPFLOW_RATE	CRTFCN_CODE	REVISION_DATE
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	15	1	Pinus banksiana'	.096	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	15	2	Pinus banksiana'	.017	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	15	3	Pinus banksiana'	.112	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	30	1	Pinus banksiana'	.087	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	30	3	Pinus banksiana'	.104	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	30	2	Pinus banksiana'	.043	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	45	1	Pinus banksiana'	.082	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	45	3	Pinus banksiana'	.097	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	45	2	Pinus banksiana'	.066	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	100	1	Pinus banksiana'	.073	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	100	2	Pinus banksiana'	.059	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	100	3	Pinus banksiana'	.087	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	115	1	Pinus banksiana'	.058	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	115	2	Pinus banksiana'	.049	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	115	3	Pinus banksiana'	.076	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	130	1	Pinus banksiana'	.044	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	130	3	Pinus banksiana'	.063	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	130	2	Pinus banksiana'	.039	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	145	1	Pinus banksiana'	.032	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	145	2	Pinus banksiana'	.03	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	145	3	Pinus banksiana'	.05	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	200	1	Pinus banksiana'	.023	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	200	2	Pinus banksiana'	.023	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	200	3	Pinus banksiana'	.04	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	215	1	Pinus banksiana'	.016	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	215	3	Pinus banksiana'	.03	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	215	2	Pinus banksiana'	.017	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	230	1	Pinus banksiana'	.011	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	230	3	Pinus banksiana'	.022	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	230	2	Pinus banksiana'	.013	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	245	1	Pinus banksiana'	.008	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	245	2	Pinus banksiana'	.009	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	245	3	Pinus banksiana'	.016	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	300	1	Pinus banksiana'	.005	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	300	3	Pinus banksiana'	.012	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	300	2	Pinus banksiana'	.007	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	315	1	Pinus banksiana'	.003	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	315	2	Pinus banksiana'	.006	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	315	3	Pinus banksiana'	.008	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	330	1	Pinus banksiana'	.003	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	330	2	Pinus banksiana'	.005	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	330	3	Pinus banksiana'	.006	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	345	1	Pinus banksiana'	.002	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	345	3	Pinus banksiana'	.004	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	345	2	Pinus banksiana'	.004	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	400	1	Pinus banksiana'	.001	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	400	2	Pinus banksiana'	.004	CPI'	14-SEP-1998
